route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
33,305,121408020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121409020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121353020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121354020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121355020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121356020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121402020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121403020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121347020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121348020,SHUTTLE PARK SOUTH,,5502,33:51
33,305,121349020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121350020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121351020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121352020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121341020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121342020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121343020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121344020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121345020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121346020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121335020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121336020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121337020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121338020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121339020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121340020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121396020,SHUTTLE PARK SOUTH,,6102,33:51
33,305,121397020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121398020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121399020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121400020,SHUTTLE PARK SOUTH,,6102,33:51
33,305,121401020,SHUTTLE PARK SOUTH,,5802,33:51
33,305,121390020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121391020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121392020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121393020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121394020,SHUTTLE PARK SOUTH,,5902,33:51
33,305,121395020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121384020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121385020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121386020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121387020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121388020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121389020,SHUTTLE PARK SOUTH,,6002,33:51
33,305,121334020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121380020,SHUTTLE PARK SOUTH,,5702,33:51
33,305,121381020,SHUTTLE PARK SOUTH,,5702,33:51
33,305,121382020,SHUTTLE PARK SOUTH,,5702,33:51
33,305,121383020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121328020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121329020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121330020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121331020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121332020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121333020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121322020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121323020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121324020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121325020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121326020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121327020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121316020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121317020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121318020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121319020,SHUTTLE PARK SOUTH,,5102,33:51
33,305,121320020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121321020,SHUTTLE PARK SOUTH,,5302,33:51
33,64,121861010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121862010,SHUTTLE PARK SOUTH,,5301,33:51
33,305,121312020,SHUTTLE PARK SOUTH,,5202,33:51
33,305,121313020,SHUTTLE PARK SOUTH,,5302,33:51
33,305,121314020,SHUTTLE PARK SOUTH,,5402,33:51
33,305,121315020,SHUTTLE PARK SOUTH,,5502,33:51
33,64,121855010,SHUTTLE PARK SOUTH,,5701,33:51
33,64,121856010,SHUTTLE PARK SOUTH,,5801,33:51
33,64,121857010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121858010,SHUTTLE PARK SOUTH,,5301,33:51
33,64,121859010,SHUTTLE PARK SOUTH,,5401,33:51
33,64,121860010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121849010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121850010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121851010,SHUTTLE PARK SOUTH,,5701,33:51
33,64,121852010,SHUTTLE PARK SOUTH,,5801,33:51
33,64,121853010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121854010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121843010,SHUTTLE PARK SOUTH,,5701,33:51
33,64,121844010,SHUTTLE PARK SOUTH,,5801,33:51
33,64,121845010,SHUTTLE PARK SOUTH,,5901,33:51
33,64,121846010,SHUTTLE PARK SOUTH,,6001,33:51
33,64,121847010,SHUTTLE PARK SOUTH,,5701,33:51
33,64,121848010,SHUTTLE PARK SOUTH,,5801,33:51
33,58,121664070,SHUTTLE PARK SOUTH,,6107,33:51
33,58,121665070,SHUTTLE PARK SOUTH,,6207,33:51
33,58,121666070,SHUTTLE PARK SOUTH,,5907,33:51
33,64,121795010,SHUTTLE PARK SOUTH,,5101,33:51
33,64,121796010,SHUTTLE PARK SOUTH,,5201,33:51
33,64,121797010,SHUTTLE PARK SOUTH,,5301,33:51
33,58,121658070,SHUTTLE PARK SOUTH,,5907,33:51
33,58,121659070,SHUTTLE PARK SOUTH,,6007,33:51
33,58,121660070,SHUTTLE PARK SOUTH,,6107,33:51
