shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1:01,35.01047,-85.31977,40000015,
1:01,35.01049,-85.32036,39000029,
1:01,35.01055,-85.32565,35000008,
1:01,35.01055,-85.31996,40000012,
1:01,35.01059,-85.32031,39000035,
1:01,35.01063,-85.32582,34000055,
1:01,35.01063,-85.32015,40000009,
1:01,35.01066,-85.32586,34000050,
1:01,35.01075,-85.32603,34000047,
1:01,35.01082,-85.32616,34000045,
1:01,35.01086,-85.32697,34000035,
1:01,35.01089,-85.32631,34000043,
1:01,35.01091,-85.32719,34000032,
1:01,35.01091,-85.32673,34000038,
1:01,35.01094,-85.32649,34000041,
1:01,35.01098,-85.32735,34000029,
1:01,35.01105,-85.32749,34000026,
1:01,35.01122,-85.32751,34000022,
1:01,35.01132,-85.32740,34000007,
1:01,35.01143,-85.32729,33000031,
1:01,35.01143,-85.32724,33000027,
1:01,35.01150,-85.32703,33000024,
1:01,35.01158,-85.32689,33000022,
1:01,35.01171,-85.32671,33000020,
1:01,35.01187,-85.32651,33000018,
1:01,35.01206,-85.32640,33000016,
1:01,35.01225,-85.32628,33000014,
1:01,35.01245,-85.32616,33000012,
1:01,35.01264,-85.32604,33000010,
1:01,35.01280,-85.32597,33000008,
1:01,35.01298,-85.32589,32000025,
1:01,35.01301,-85.32586,32000021,
1:01,35.01317,-85.32579,32000018,
1:01,35.01333,-85.32569,32000016,
1:01,35.01349,-85.32562,32000014,
1:01,35.01361,-85.32552,32000012,
1:01,35.01372,-85.32552,31000055,
1:01,35.01372,-85.32552,31000053,
1:01,35.01385,-85.32544,31000048,
1:01,35.01400,-85.32536,31000043,
1:01,35.01415,-85.32528,31000038,
1:01,35.01428,-85.32520,31000035,
1:01,35.01441,-85.32514,31000032,
1:01,35.01456,-85.32507,31000027,
1:01,35.01467,-85.32497,31000022,
1:01,35.01476,-85.32480,31000019,
1:01,35.01487,-85.32461,31000017,
1:01,35.01496,-85.31446,25000010,
1:01,35.01499,-85.32444,31000015,
1:01,35.01503,-85.31465,25000012,
1:01,35.01504,-85.31431,24000027,
1:01,35.01510,-85.32428,31000013,
1:01,35.01510,-85.31427,24000022,
1:01,35.01512,-85.31490,25000014,
1:01,35.01520,-85.32414,31000011,
1:01,35.01521,-85.31519,25000016,
1:01,35.01524,-85.31420,24000020,
1:01,35.01527,-85.31535,25000017,
1:01,35.01530,-85.32399,30000084,
1:01,35.01531,-85.32396,30000032,
1:01,35.01532,-85.31551,25000018,
1:01,35.01538,-85.31567,25000019,
1:01,35.01539,-85.32384,30000029,
1:01,35.01543,-85.31581,25000020,
1:01,35.01546,-85.31408,24000018,
1:01,35.01550,-85.32366,30000027,
1:01,35.01553,-85.31611,25000022,
1:01,35.01560,-85.31398,24000017,
1:01,35.01563,-85.31638,25000024,
1:01,35.01564,-85.32349,30000025,
1:01,35.01570,-85.31660,25000026,
1:01,35.01574,-85.31390,24000016,
1:01,35.01577,-85.31678,25000028,
1:01,35.01580,-85.31687,25000033,
1:01,35.01582,-85.32333,30000023,
1:01,35.01586,-85.31706,26000008,
1:01,35.01588,-85.31382,24000015,
1:01,35.01593,-85.31726,26000010,
1:01,35.01600,-85.31746,26000012,
1:01,35.01602,-85.32318,30000021,
1:01,35.01603,-85.31376,24000014,
1:01,35.01608,-85.31767,26000014,
1:01,35.01613,-85.31781,26000017,
1:01,35.01613,-85.31783,26000020,
1:01,35.01617,-85.31368,24000013,
1:01,35.01619,-85.31797,27000007,
1:01,35.01623,-85.32307,30000019,
1:01,35.01625,-85.31818,27000009,
1:01,35.01630,-85.31361,24000012,
1:01,35.01632,-85.31839,27000011,
1:01,35.01641,-85.31861,27000013,
1:01,35.01644,-85.32298,30000017,
1:01,35.01647,-85.31878,27000015,
1:01,35.01652,-85.31892,27000021,
1:01,35.01652,-85.31349,24000010,
1:01,35.01655,-85.31908,28000023,
1:01,35.01661,-85.31932,28000026,
1:01,35.01663,-85.32287,30000015,
1:01,35.01667,-85.31341,24000008,
1:01,35.01669,-85.31951,28000029,
1:01,35.01677,-85.31972,28000032,
1:01,35.01679,-85.32277,30000013,
1:01,35.01679,-85.31334,23000024,
1:01,35.01681,-85.31333,23000020,
1:01,35.01684,-85.31991,28000035,
1:01,35.01690,-85.32007,28000037,
1:01,35.01695,-85.31325,23000017,
1:01,35.01696,-85.32027,28000039,
1:01,35.01698,-85.32268,30000010,
1:01,35.01702,-85.32047,28000041,
1:01,35.01709,-85.32066,28000043,
1:01,35.01709,-85.31319,23000015,
1:01,35.01715,-85.32261,29000053,
1:01,35.01717,-85.32086,28000045,
1:01,35.01722,-85.32256,29000045,
1:01,35.01725,-85.32107,28000047,
1:01,35.01725,-85.31309,23000013,
1:01,35.01731,-85.32126,28000049,
1:01,35.01737,-85.32249,29000042,
1:01,35.01737,-85.32142,28000051,
1:01,35.01738,-85.31301,23000011,
1:01,35.01743,-85.32158,28000054,
1:01,35.01745,-85.32167,28000085,
1:01,35.01753,-85.32187,29000010,
1:01,35.01753,-85.31293,22000030,
1:01,35.01754,-85.32237,29000039,
1:01,35.01759,-85.32202,29000014,
1:01,35.01761,-85.31288,22000025,
1:01,35.01762,-85.32218,29000036,
1:01,35.01774,-85.31280,22000023,
1:01,35.01792,-85.31271,22000021,
1:01,35.01814,-85.31261,22000019,
1:01,35.01836,-85.31245,22000017,
1:01,35.01860,-85.31236,22000015,
1:01,35.01883,-85.31222,22000013,
1:01,35.01902,-85.31212,22000011,
1:01,35.01919,-85.31204,22000009,
1:01,35.01932,-85.31199,21000064,
1:01,35.01942,-85.31193,21000058,
1:01,35.01957,-85.31185,21000056,
1:01,35.01975,-85.31177,21000054,
1:01,35.01996,-85.31166,21000052,
1:01,35.02021,-85.31158,21000050,
1:01,35.02047,-85.31152,21000048,
1:01,35.02060,-85.31149,21000047,
1:01,35.02075,-85.31145,21000046,
1:01,35.02089,-85.31144,21000045,
1:01,35.02106,-85.31144,21000044,
1:01,35.02122,-85.31142,21000043,
1:01,35.02139,-85.31141,21000042,
1:01,35.02155,-85.31141,21000041,
1:01,35.02172,-85.31141,21000040,
1:01,35.02188,-85.31141,21000039,
1:01,35.02204,-85.31142,21000038,
1:01,35.02220,-85.31141,21000037,
1:01,35.02237,-85.31141,21000036,
1:01,35.02253,-85.31141,21000035,
1:01,35.02271,-85.31141,21000034,
1:01,35.02287,-85.31142,21000033,
1:01,35.02303,-85.31145,21000032,
1:01,35.02319,-85.31149,21000031,
1:01,35.02335,-85.31153,21000030,
1:01,35.02351,-85.31158,21000029,
1:01,35.02367,-85.31161,21000028,
1:01,35.02382,-85.31168,21000027,
1:01,35.02397,-85.31172,21000026,
1:01,35.02412,-85.31177,21000025,
1:01,35.02426,-85.31179,21000024,
1:01,35.02454,-85.31185,21000022,
1:01,35.02480,-85.31185,21000020,
1:01,35.02505,-85.31182,21000018,
1:01,35.02529,-85.31177,21000016,
1:01,35.02549,-85.31169,21000014,
1:01,35.02565,-85.31161,21000012,
1:01,35.02577,-85.31155,21000010,
1:01,35.02592,-85.31149,20000024,
1:01,35.02597,-85.31145,20000019,
1:01,35.02612,-85.31136,20000016,
1:01,35.02627,-85.31126,20000014,
1:01,35.02643,-85.31118,20000012,
1:01,35.02657,-85.31110,20000010,
1:01,35.02674,-85.31103,19000028,
1:01,35.02679,-85.31099,19000023,
1:01,35.02693,-85.31093,19000020,
1:01,35.02706,-85.31085,19000018,
1:01,35.02719,-85.31079,19000016,
1:01,35.02738,-85.31072,19000013,
1:01,35.02755,-85.31066,18000040,
1:01,35.02768,-85.31058,18000033,
1:01,35.02782,-85.31050,18000031,
1:01,35.02802,-85.31037,18000029,
